observer,date,time,treatment,risk,risk_binary,site,wind_speed,con_hetero,size,autonomized,AD,SD,FID,look,locomotion,tot_time_in
AK,19-Jan-22,7:43,C,high,1,gump,2,0,6.5,0,1.6,3.4,1.6,1,0,30000
LM,25-Jan-22,8:07,S,high,1,juice_factory,2,1,5,0,1.9,2.62,1.9,9,1,30000
AK,25-Jan-22,8:37,BC,_low,-1,cross_island_road,1,0,14,0,2.5,4.5,2.5,1,0,30000
LM,23-Jan-22,8:41,BC,high,1,soccer_field,1,3,11,0,2.05,2.45,1.63,8,1,30000
KS,25-Jan-22,8:43,C,_low,-1,road_to_pineapple_plantation,1,2,8,0,1.48,3.44,1.48,10,0,30000
AK,19-Jan-22,8:44,_N,high,1,gump,2,2,6,0,2.3,5.9,2.3,3,0,30000
AK,23-Jan-22,8:48,BC,high,1,gump,1,2,7,0,1.05,2.6,1.05,3,0,30000
LM,23-Jan-22,8:50,C,high,1,soccer_field,0,4,10,0,1.5,2.05,1.5,8,3,30000
KS,25-Jan-22,8:53,_N,_low,-1,road_to_pineapple_plantation,1,1,9,0,2.69,4.11,2.69,6,0,30000
LM,23-Jan-22,8:54,S,high,1,soccer_field,0,0,10,0,2,2.7,1,3,0,30000
AK,25-Jan-22,8:58,S,_low,-1,cross_island_road,1,1,11,0,1.7,3.3,1.7,1,0,30000
LM,25-Jan-22,9:01,_N,high,1,juice_factory,0,2,13,0,2.4,3,2.1,3,0,30000
AK,23-Jan-22,9:03,S,high,1,gump,1,1,8.5,0,0.9,3.8,0.9,2,0,30000
KS,23-Jan-22,9:03,BC,_low,-1,cross_island_road,1,0,5,0,2.25,3.18,2.25,1,0,30000
KS,17-Jan-22,9:04,_N,high,1,gump,1,0,10,0,2.2,4.35,2.2,1,0,30000
AK,21-Jan-22,9:09,S,_low,-1,cross_island_road,1,1,7.5,0,2.65,4.05,2.65,3,0,30000
KS,25-Jan-22,9:09,BC,_low,-1,road_to_pineapple_plantation,2,4,10,0,2.63,4.01,2.63,1,0,30000
AK,27-Jan-22,9:10,S,_low,-1,road_to_pineapple_plantation,1,2,6,0,1.3,2.85,1.3,1,0,30000
LM,23-Jan-22,9:13,_N,high,1,soccer_field,0,0,15,0,1.18,2.43,1.18,1,0,30000
KS,19-Jan-22,9:14,S,_low,-1,road_to_pineapple_plantation,2,0,9,0,3.2,4.6,2.3,2,0,30000
LM,27-Jan-22,9:15,_N,_low,-1,cross_island_road,0,0,11,0,1.1,2.8,1.1,4,0,30000
KS,23-Jan-22,9:18,S,_low,-1,cross_island_road,0,0,8,0,1.42,3.35,1.42,1,0,30000
LM,23-Jan-22,9:20,BC,high,1,soccer_field,1,0,13,0,1.55,1.88,0.9,4,0,30000
AK,27-Jan-22,9:22,C,_low,-1,road_to_pineapple_plantation,2,0,9,0,1.6,3.85,1.6,15,8,28138
LM,27-Jan-22,9:24,BC,_low,-1,cross_island_road,1,3,11,0,2,3.35,2,6,5,30000
AK,19-Jan-22,9:25,BC,high,1,gump,1,2,9,0,2.7,5.05,2.7,5,1,30000
LM,25-Jan-22,9:26,BC,high,1,juice_factory,1,1,8,0,1.8,2.8,1.4,4,1,30000
LM,27-Jan-22,9:28,C,_low,-1,cross_island_road,0,2,10,0,2.3,2.7,1.6,13,2,30000
LM,27-Jan-22,9:30,S,_low,-1,cross_island_road,1,0,10,0,3.1,3.7,1.8,7,3,30000
AK,19-Jan-22,9:36,S,high,1,gump,1,0,5,0,2.8,3.9,2.8,2,0,30000
AK,27-Jan-22,9:36,_N,_low,-1,road_to_pineapple_plantation,1,0,8,1,2,2.8,2,10,1,27018
KS,23-Jan-22,9:39,C,_low,-1,cross_island_road,0,2,5,1,2.44,2.84,1.56,1,0,30000
LM,25-Jan-22,9:43,C,high,1,soccer_field,0,3,9,0,2,3.04,2,5,0,30000
KS ,27-Jan-22,9:43,_N,high,1,gump,0,1,10,0,2.29,3.14,2.29,8,6,30000
AK,25-Jan-22,9:44,C,_low,-1,cross_island_road,1,1,7.5,0,1.3,3.8,1.3,4,0,30000
KS,25-Jan-22,9:46,S,_low,-1,road_to_pineapple_plantation,2,0,8,0,2.8,3.15,2.8,8,0,30000
LM,25-Jan-22,9:51,S,high,1,soccer_field,0,2,11,0,1.2,2.5,1.2,8,3,30000
LM,27-Jan-22,9:52,_N,_low,-1,cross_island_road,0,0,4,0,2.85,3.3,2.85,6,0,30000
KS,19-Jan-22,9:53,C,_low,-1,road_to_pineapple_plantation,2,1,8,0,3,3,2.8,3,1,30000
AK,25-Jan-22,9:53,_N,_low,-1,cross_island_road,1,0,8,0,1.8,3.2,1.8,11,3,30000
KS ,27-Jan-22,9:53,BC,high,1,gump,1,2,11,0,2,2.71,2,3,0,30000
AK,27-Jan-22,9:54,BC,_low,-1,road_to_pineapple_plantation,2,3,9,0,1.2,2.85,1.2,6,3,10394
AK,25-Jan-22,10:05,BC,_low,-1,cross_island_road,1,2,10,0,1.9,3.55,1.9,4,0,30000
LM,25-Jan-22,10:07,_N,high,1,soccer_field,0,1,11,0,1.2,2.05,1.2,8,4,30000
KS ,27-Jan-22,10:08,S,high,1,gump,1,0,9,0,1.04,3.42,1.04,4,1,30000
LM,21-Jan-22,10:12,S,_low,-1,road_to_pineapple_plantation,2,0,7,0,0.9,2.2,0.9,1,0,30000
LM,23-Jan-22,10:13,C,high,1,juice_factory,0,3,12,0,1.15,1.65,1.15,8,0,30000
AK,25-Jan-22,10:17,S,_low,-1,cross_island_road,1,2,10,0,1.95,4.7,1.95,1,0,30000
KS,25-Jan-22,10:19,C,_low,-1,road_to_pineapple_plantation,1,0,7,0,0.95,2.6,0.95,1,0,30000
KS ,27-Jan-22,10:25,C,high,1,gump,1,1,8,0,1.22,3.62,1.22,1,0,30000
KS,19-Jan-22,10:26,_N,_low,-1,road_to_pineapple_plantation,2,4,11,0,2.6,4,2.6,4,1,30000
KS,25-Jan-22,10:28,_N,_low,-1,road_to_pineapple_plantation,1,3,13,0,3.4,3.85,2.31,1,0,30000
KS,23-Jan-22,10:29,_N,_low,-1,road_to_pineapple_plantation,2,3,7,0,3.34,4.46,2.61,4,0,30000
AK,21-Jan-22,10:30,C,_low,-1,cross_island_road,1,0,8,0,2.95,4.6,2.5,1,0,30000
LM,21-Jan-22,10:33,BC,_low,-1,road_to_pineapple_plantation,2,3,9,0,2.13,2.63,2.13,2,0,23997
LM,19-Jan-22,10:35,S,_low,-1,cross_island_road,1,8,9,0,2.25,2.65,2.25,5,3,30000
LM,23-Jan-22,10:35,S,high,1,juice_factory,2,3,13,0,1.1,1.8,1.1,5,5,30000
KS ,27-Jan-22,10:37,_N,high,1,gump,1,0,12,0,4,4.89,4,1,0,30000
KS,23-Jan-22,10:41,BC,_low,-1,road_to_pineapple_plantation,2,5,8,0,3.66,4.05,3.26,1,0,30000
KS,25-Jan-22,10:41,BC,_low,-1,road_to_pineapple_plantation,2,7,6,0,1.71,3.67,1.71,9,9,29205
AK,19-Jan-22,10:44,C,high,1,gump,1,1,6,0,2.65,3.8,1.9,2,0,30000
KS,19-Jan-22,10:46,BC,_low,-1,road_to_pineapple_plantation,2,3,10,0,3.4,3.4,2.1,1,0,30000
LM,17-Jan-22,10:47,_N,high,1,soccer_field,0,1,6,0,1.4,2.5,1.4,1,0,30000
KS,23-Jan-22,10:48,S,_low,-1,road_to_pineapple_plantation,1,5,10,0,3.2,3.65,2.34,5,3,30000
KS ,27-Jan-22,10:49,BC,high,1,gump,2,0,7,0,2.41,3.73,2.41,1,0,30000
AK,23-Jan-22,10:50,BC,high,1,gump,2,0,11,0,1.6,2.9,1.1,1,0,30000
LM,23-Jan-22,10:50,_N,high,1,juice_factory,0,6,7,0,2.55,3.3,2.55,12,2,30000
AK,27-Jan-22,10:51,S,_low,-1,road_to_pineapple_plantation,0,0,5,0,2.95,4.25,2.95,1,0,30000
KS,25-Jan-22,10:52,S,_low,-1,road_to_pineapple_plantation,1,3,8,0,2.44,3.57,2.44,7,0,30000
KS,19-Jan-22,10:53,S,_low,-1,road_to_pineapple_plantation,1,5,14,0,2.25,3.3,1.7,4,0,30000
KS,23-Jan-22,10:55,C,_low,-1,road_to_pineapple_plantation,2,4,8,0,1.94,3,1.94,6,2,30000
LM,25-Jan-22,10:58,BC,high,1,gump,1,1,10,0,1.7,2.2,1.7,2,0,30000
LM,21-Jan-22,11:00,S,_low,-1,road_to_pineapple_plantation,2,0,4,0,1.85,2.8,1.85,8,4,28438
AK,25-Jan-22,11:00,C,_low,-1,cross_island_road,1,2,9,0,1.9,3.05,1.9,12,0,30000
KS ,27-Jan-22,11:01,S,high,1,gump,1,0,10,0,2.8,3.47,2.8,7,2,30000
AK,23-Jan-22,11:04,S,high,1,gump,1,1,12,0,1.8,4.3,1.6,1,0,30000
LM,19-Jan-22,11:08,_N,_low,-1,cross_island_road,0,0,8,0,1.45,2.35,1.45,11,7,28062
KS,25-Jan-22,11:08,C,_low,-1,road_to_pineapple_plantation,2,3,9,0,2.21,3.01,1.24,1,0,30000
KS,23-Jan-22,11:09,_N,_low,-1,road_to_pineapple_plantation,2,3,10,0,2.56,3.7,2.56,8,3,30000
